method,received_at,east_m,north_m,error_to_rtk_m
FlexTDOA,1785765511.411617,0.359805,3.373245,0.061134
FlexTDOA,1785765511.414140,0.279428,3.437522,0.095542
FlexTDOA,1785765511.415406,0.399981,3.204897,0.228989
FlexTDOA,1785765511.533754,0.332565,3.344553,0.097580
FlexTDOA,1785765511.575575,0.419058,3.365696,0.080114
FlexTDOA,1785765511.576435,0.315992,3.297061,0.147672
FlexTDOA,1785765511.576492,0.329912,3.295035,0.144621
FlexTDOA,1785765511.685230,0.312812,3.525723,0.111971
FlexTDOA,1785765511.689003,0.308083,3.328336,0.123720
FlexTDOA,1785765511.703005,0.298229,3.330665,0.127436
FlexTDOA,1785765511.703005,0.461278,3.247165,0.204503
FlexTDOA,1785765511.724000,0.320263,3.194246,0.244427
FlexTDOA,1785765511.724000,0.387926,3.473139,0.042693
FlexTDOA,1785765511.724000,0.425441,3.279106,0.161526
FlexTDOA,1785765511.724000,0.496247,3.475517,0.128804
FlexTDOA,1785765511.785779,0.329550,3.399804,0.055859
FlexTDOA,1785765511.843249,0.515771,3.635471,0.247101
FlexTDOA,1785765511.843306,0.300470,3.353511,0.108490
FlexTDOA,1785765511.937804,0.362055,3.311072,0.122101
FlexTDOA,1785765512.039124,0.388486,3.240274,0.192711
FlexTDOA,1785765512.094295,0.296231,3.263052,0.186795
FlexTDOA,1785765512.094971,0.368002,3.391282,0.041782
FlexTDOA,1785765512.095047,0.576776,3.406021,0.203666
FlexTDOA,1785765512.236497,0.412343,3.359083,0.082443
FlexTDOA,1785765512.283873,0.317334,3.309818,0.135492
FlexTDOA,1785765512.329567,0.374181,3.444604,0.012121
FlexTDOA,1785765512.329615,0.313312,3.446341,0.063064
FlexTDOA,1785765512.341289,0.164851,3.267848,0.266844
FlexTDOA,1785765512.433928,0.333180,3.313239,0.126329
FlexTDOA,1785765512.434274,0.354324,3.256800,0.176895
FlexTDOA,1785765512.505138,0.334722,3.285423,0.152451
FlexTDOA,1785765512.555025,0.496312,3.389408,0.128891
FlexTDOA,1785765512.555091,0.380237,3.272975,0.159617
FlexTDOA,1785765512.613771,0.448680,3.344617,0.114788
FlexTDOA,1785765512.695191,0.390594,3.338435,0.095377
FlexTDOA,1785765512.725410,0.325285,3.247036,0.191971
FlexTDOA,1785765512.725453,0.413067,3.492702,0.071313
FlexTDOA,1785765512.728374,0.430052,3.434001,0.055234
FlexTDOA,1785765512.824154,0.277199,3.420451,0.098380
FlexTDOA,1785765512.871824,0.338812,3.508049,0.083698
FlexTDOA,1785765512.912890,0.219976,3.313395,0.195369
FlexTDOA,1785765513.061999,0.308444,3.275495,0.170468
