block,slot_id,initiator_id,received_at,x_m,y_m,truth_x_m,truth_y_m,error_m
flex_3,39175,5,1785086159.1396232,1.603836333062951,1.5543059660472711,1.5,1.5,0.11717987033738969
flex_3,39177,3,1785086159.1396823,1.654735424724537,1.4861270300462552,1.5,1.5,0.15535607796291828
flex_3,39179,5,1785086159.146105,1.6210872216677075,1.5229663397862543,1.5,1.5,0.12324596550955415
flex_3,39182,4,1785086159.1492586,1.4751921437656996,1.5690918753250716,1.5,1.5,0.07341060527523899
flex_3,39187,5,1785086159.1751943,1.583235416307758,1.5539066067885394,1.5,1.5,0.09916681291329267
flex_3,39188,2,1785086159.1752334,1.4684522950996555,1.4965498834979483,1.5,1.5,0.03173579979072454
flex_3,39190,4,1785086159.1771197,1.5683666058138428,1.5804521367749311,1.5,1.5,0.10557717131159362
flex_3,39193,3,1785086159.2090523,1.6031173026296657,1.5339045142703016,1.5,1.5,0.1085481192353103
flex_3,39195,5,1785086159.2092495,1.4865712578484576,1.6204409465886753,1.5,1.5,0.12118726307227487
flex_3,39196,2,1785086159.2092886,1.5114948586183066,1.5273318361363288,1.5,1.5,0.029650649929436414
flex_3,39199,5,1785086159.2094738,1.5875164247474371,1.6151109087066104,1.5,1.5,0.14460168015564492
flex_3,39200,2,1785086159.2095075,1.4809924714678437,1.5069211139245189,1.5,1.5,0.02022839486605162
flex_3,39203,5,1785086159.211845,1.6254687097818947,1.5297471554906368,1.5,1.5,0.12894685104382134
flex_3,39206,4,1785086159.2255762,1.5213130938436683,1.4418407174201477,1.5,1.5,0.06194150562742334
flex_3,39208,2,1785086159.2464447,1.5378367631473353,1.4664167060736264,1.5,1.5,0.050591088903212525
flex_3,39210,4,1785086159.2467816,1.4966916409609778,1.4792401733921607,1.5,1.5,0.02102178965546536
flex_3,39211,5,1785086159.2468119,1.593740771182147,1.586625532729735,1.5,1.5,0.12763743613271936
flex_3,39213,3,1785086159.2468767,1.5321930677334243,1.4573398857827802,1.5,1.5,0.05344416670802426
flex_3,39214,4,1785086159.2469058,1.5133020530490824,1.5643858688452343,1.5,1.5,0.06574560610623588
flex_3,39215,5,1785086159.2481542,1.5982992416982287,1.5604216505731687,1.5,1.5,0.11538421372281774
