role,capture_id,protocol,motion,gps_time,uwb_time,delta_ms,uwb_east_m,uwb_north_m,rtk_east_m,rtk_north_m,error_east_m,error_north_m,error_m,gps_fix_age_ms,gps_speed_mps,position_sigma_m,position_rms_m,geometry_version,alignment_version,alignment_exact_version,alignment_age_s,debiased_error_m
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447856.7348387,1786447856.7352297,0.3910064697265625,0.10583409212072148,0.09413727298260532,0.25201913774265855,0.006111611788505056,-0.14618504562193707,0.08802566119410027,0.17064168480223801,nan,0.0,0.219,0.219,2147504967,2147504959,False,0.06312847137451172,0.13356076957792098
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447857.0765338,1786447857.0659845,-10.549306869506836,0.33380279346609476,0.12735279957641765,0.2524179024012981,0.006556093167859212,0.08138489106479668,0.12079670640855844,0.1456548824200009,nan,0.0,0.389,0.389,2147504979,2147504959,False,0.39388322830200195,0.10582348647124361
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447857.1137621,1786447857.1114554,-2.306699752807617,0.1317319819732219,0.20216180399842543,0.2514608675781568,0.008222894748750154,-0.11972888560493489,0.19393890924967527,0.22791951774508773,nan,0.0,0.285,0.285,2147504995,2147504959,False,0.43935418128967285,0.16049691205390262
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447857.1448643,1786447857.1520529,7.188558578491211,0.33376970597971334,0.16235278393667496,0.25162037307816454,0.006667212993472296,0.0821493329015488,0.15568557094320268,0.17602985512713598,nan,0.0,0.441,0.441,2147505011,2147504959,False,0.4799516201019287,0.12588090779968672
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447857.2208881,1786447857.2754009,54.512739181518555,0.1127792583010554,0.15214386456259366,0.25066333846870936,0.006111611675583939,-0.13788408016765397,0.14603225288700972,0.2008418244463428,nan,0.0,0.178,0.178,2147505031,2147504959,False,0.603299617767334,0.14396801859469555
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447857.3605669,1786447857.3422399,-18.326997756958008,0.37683586173793393,0.09239346555657146,0.2490682810696312,0.0057782517259048205,0.12776758066830274,0.08661521383066664,0.15435915890145085,nan,0.0,0.391,0.391,2147505043,2147504959,False,0.6701385974884033,0.14174731703363494
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447857.4750502,1786447857.4725406,-2.509593963623047,0.0798416665928463,0.08611269728180648,0.24906828088836108,0.005222650678933086,-0.16922661429551478,0.0808900466028734,0.18756557953243436,nan,0.0,0.172,0.172,2147505056,2147504959,False,0.8004393577575684,0.15599905913184312
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447857.5916798,1786447857.596617,4.937171936035156,0.11186339549898916,0.06314295897547151,0.25082284431082696,0.004889289937957689,-0.1389594488118378,0.05825366903751382,0.15067587189202514,nan,0.0,0.194,0.194,2147505072,2147504959,False,0.9245157241821289,0.12651651636161101
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447857.7227874,1786447857.7387836,15.996217727661133,0.2768803381903402,0.0452989508831374,0.25138111466488894,0.007445053524297654,0.025499223525451253,0.03785389735883975,0.04564129649401408,nan,0.0,0.24,0.24,2147505091,2147504959,False,1.0666823387145996,0.05290713686301618
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447857.88814,1786447857.8931057,4.965782165527344,0.3108377819435282,0.09033107290452325,0.25026457402608376,0.008889615877717319,0.060573207917444416,0.08144145702680593,0.10149790362396174,nan,0.0,0.304,0.304,2147505107,2147504959,False,1.2210044860839844,0.0743670640287874
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447857.9902623,1786447858.02354,33.27775001525879,0.19581325405565764,0.11622234525974662,0.25042407930523214,0.008889615774689566,-0.0546108252495745,0.10733272948505705,0.12042697809524243,nan,0.0,0.256,0.256,2147505127,2147504959,False,1.3514387607574463,0.05318421259337589
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447858.1105554,1786447858.1112583,0.7028579711914062,0.15723442241973995,0.20520298558215533,0.25066333845318833,0.00800065380298931,-0.09342891603344838,0.19720233177916602,0.21821485286369813,nan,0.0,0.297,0.297,2147505139,2147505299,False,1.3218750953674316,0.14714933099658808
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447858.2290905,1786447858.2122447,-16.845703125,0.1552281638878652,0.20819880378479727,0.25066333840477556,0.007445053780793687,-0.09543517451691036,0.20075375000400358,0.22228346919135283,nan,0.0,0.267,0.267,2147505151,2147505299,False,1.220888614654541,0.15122090702899318
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447858.3606904,1786447858.2696762,-91.01414680480957,0.2664784376106972,0.0884307922099401,0.252258396378126,0.006556093731979393,0.014220041232571201,0.08187469847796071,0.08310039604907432,nan,0.0,0.373,0.373,2147505155,2147505299,False,1.1634571552276611,0.028790344257114565
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447858.481513,1786447858.4816,0.08702278137207031,0.36843019985169634,0.11164368035327144,0.2506633385580164,0.007667295219067963,0.11776686129367991,0.10397638513420347,0.1570990842893142,nan,0.0,0.408,0.408,2147505183,2147505299,False,0.951533317565918,0.1346029806841729
